title,rating,category,book_url,price_gbp,in_stock,price_inr
A Light in the Attic,3,Poetry,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,51.77,True,5461.735000000001
Tipping the Velvet,1,Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,53.74,True,5669.570000000001
Soumission,1,Fiction,https://books.toscrape.com/catalogue/soumission_998/index.html,50.1,True,5285.55
Sharp Objects,4,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,47.82,True,5045.01
Sapiens: A Brief History of Humankind,5,History,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,54.23,True,5721.264999999999
The Requiem Red,1,Young Adult,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,22.65,True,2389.575
The Dirty Little Secrets of Getting Your Dream Job,4,Business,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,33.34,True,3517.3700000000003
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",3,Default,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,17.93,True,1891.615
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,4,Default,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,22.6,True,2384.3
The Black Maria,1,Poetry,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,52.15,True,5501.825
"Starving Hearts (Triangular Trade Trilogy, #1)",2,Default,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,13.99,True,1475.945
Shakespeare's Sonnets,4,Poetry,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,20.66,True,2179.63
Set Me Free,5,Young Adult,https://books.toscrape.com/catalogue/set-me-free_988/index.html,17.46,True,1842.0300000000002
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),5,Sequential Art,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,52.29,True,5516.595
Rip it Up and Start Again,5,Music,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,35.02,True,3694.61
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",3,Music,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,57.25,True,6039.875
Olio,1,Poetry,https://books.toscrape.com/catalogue/olio_984/index.html,23.88,True,2519.3399999999997
Mesaerion: The Best Science Fiction Stories 1800-1849,1,Science Fiction,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,37.59,True,3965.7450000000003
Libertarianism for Beginners,2,Politics,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,51.33,True,5415.315
It's Only the Himalayas,2,Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,45.17,True,4765.435
In Her Wake,1,Thriller,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,12.84,True,1354.62
How Music Works,2,Music,https://books.toscrape.com/catalogue/how-music-works_979/index.html,37.32,True,3937.26
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",3,Food and Drink,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,30.52,True,3219.86
Chase Me (Paris Nights #2),5,Romance,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,25.27,True,2665.985
Black Dust,5,Romance,https://books.toscrape.com/catalogue/black-dust_976/index.html,34.53,True,3642.915
Birdsong: A Story in Pictures,3,Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,54.64,True,5764.52
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,3,Default,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,22.5,True,2373.75
Aladdin and His Wonderful Lamp,3,Default,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,53.13,True,5605.215
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,5,Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,40.3,True,4251.65
Wall and Piece,4,Art,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,44.18,True,4660.99
The Four Agreements: A Practical Guide to Personal Freedom,5,Spirituality,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,17.66,True,1863.13
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3,Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,31.05,True,3275.775
The Elephant Tree,5,Thriller,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,23.82,True,2513.01
The Bear and the Piano,1,Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,36.89,True,3891.895
Sophie's World,5,Philosophy,https://books.toscrape.com/catalogue/sophies-world_966/index.html,15.94,True,1681.6699999999998
Penny Maybe,3,Default,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,33.29,True,3512.095
Maude (1883-1993):She Grew Up with the country,2,Default,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,18.02,True,1901.11
"In a Dark, Dark Wood",1,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,19.63,True,2070.9649999999997
Behind Closed Doors,4,Thriller,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,52.22,True,5509.21
You can't bury them all: Poems,2,Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,33.63,True,3547.965
Slow States of Collapse: Poems,3,Poetry,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,57.31,True,6046.205
Reasons to Stay Alive,2,Nonfiction,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,26.41,True,2786.255
Private Paris (Private #10),5,Fiction,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,47.61,True,5022.855
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,5,Nonfiction,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,23.11,True,2438.105
Without Borders (Wanderlove #1),2,New Adult,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,45.07,True,4754.885
When We Collided,1,Contemporary,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,31.77,True,3351.735
"We Love You, Charlie Freeman",5,Fiction,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,50.27,True,5303.485000000001
Untitled Collection: Sabbath Poems 2014,4,Poetry,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,14.27,True,1505.485
